LOCATION,SUBJECT,TIME,Value
AUS,DEF,2007,5.77
AUS,DEF,2008,5.49
AUS,DEF,2009,5.56
AUS,DEF,2010,5.34
AUS,DEF,2011,5.41
AUS,DEF,2012,5.21
AUS,DEF,2013,5.24
AUS,ECOAFF,2007,7.23
AUS,ECOAFF,2008,7.21
AUS,ECOAFF,2009,8.29
AUS,ECOAFF,2010,6.42
AUS,ECOAFF,2011,7.92
AUS,ECOAFF,2012,6.94
AUS,ECOAFF,2013,7.5
AUS,EDU,2007,9.35
AUS,EDU,2008,9.84
AUS,EDU,2009,13
AUS,EDU,2010,12.31
AUS,EDU,2011,10.53
AUS,EDU,2012,10.81
AUS,EDU,2013,10.43
AUS,ENVPROT,2007,0.61
AUS,ENVPROT,2008,0.6
AUS,ENVPROT,2009,0.59
AUS,ENVPROT,2010,1.12
AUS,ENVPROT,2011,1.42
AUS,ENVPROT,2012,1.57
AUS,ENVPROT,2013,1.63
AUS,GRALPUBSER,2007,24.62
AUS,GRALPUBSER,2008,21.55
AUS,GRALPUBSER,2009,22.13
AUS,GRALPUBSER,2010,23.19
AUS,GRALPUBSER,2011,23.33
AUS,GRALPUBSER,2012,23.78
AUS,GRALPUBSER,2013,23.74
AUS,HEALTH,2007,15.41
AUS,HEALTH,2008,14.71
AUS,HEALTH,2009,14.78
AUS,HEALTH,2010,15.18
AUS,HEALTH,2011,15.79
AUS,HEALTH,2012,15.39
AUS,HEALTH,2013,15.19
AUS,HOUCOMM,2007,0.63
AUS,HOUCOMM,2008,1.17
AUS,HOUCOMM,2009,2.36
AUS,HOUCOMM,2010,1.27
AUS,HOUCOMM,2011,1.03
AUS,HOUCOMM,2012,0.84
AUS,HOUCOMM,2013,0.91
AUS,PUBORD,2007,1.22
AUS,PUBORD,2008,1.06
AUS,PUBORD,2009,1.1
AUS,PUBORD,2010,1.04
AUS,PUBORD,2011,1.02
AUS,PUBORD,2012,1.01
AUS,PUBORD,2013,1.04
AUS,RECULTREL,2007,1.06
AUS,RECULTREL,2008,0.88
AUS,RECULTREL,2009,0.85
AUS,RECULTREL,2010,0.79
AUS,RECULTREL,2011,0.87
AUS,RECULTREL,2012,0.81
AUS,RECULTREL,2013,0.8
AUS,SOCPROT,2007,34.09
AUS,SOCPROT,2008,37.49
AUS,SOCPROT,2009,31.35
AUS,SOCPROT,2010,33.35
AUS,SOCPROT,2011,32.69
AUS,SOCPROT,2012,33.64
AUS,SOCPROT,2013,33.53
AUT,DEF,2007,2.29
AUT,DEF,2008,2.66
AUT,DEF,2009,1.93
AUT,DEF,2010,1.82
AUT,DEF,2011,1.81
AUT,DEF,2012,1.71
AUT,DEF,2013,1.82
AUT,DEF,2014,1.62
AUT,HEALTH,2007,3.37
AUT,HEALTH,2008,3.59
AUT,HEALTH,2009,3.47
AUT,HEALTH,2010,3.81
AUT,HEALTH,2011,4.01
AUT,HEALTH,2012,4.13
AUT,HEALTH,2013,3.82
AUT,HEALTH,2014,3.52
AUT,HOUCOMM,2007,1.47
AUT,HOUCOMM,2008,1.47
AUT,HOUCOMM,2009,0.2
AUT,HOUCOMM,2010,0.22
AUT,HOUCOMM,2011,0.2
AUT,HOUCOMM,2012,0.18
AUT,HOUCOMM,2013,0.13
AUT,HOUCOMM,2014,0.11
AUT,PUBORD,2007,3.46
AUT,PUBORD,2008,3.45
AUT,PUBORD,2009,3.33
AUT,PUBORD,2010,3.39
AUT,PUBORD,2011,3.39
AUT,PUBORD,2012,3.38
AUT,PUBORD,2013,3.37
AUT,PUBORD,2014,3.27
AUT,EDU,2007,9.89
AUT,EDU,2008,9.88
AUT,EDU,2009,9.52
AUT,EDU,2010,9.88
AUT,EDU,2011,9.93
AUT,EDU,2012,9.94
AUT,EDU,2013,10.01
AUT,EDU,2014,9.43
AUT,GRALPUBSER,2007,33.91
AUT,GRALPUBSER,2008,34.03
AUT,GRALPUBSER,2009,33.66
AUT,GRALPUBSER,2010,34.19
AUT,GRALPUBSER,2011,35.24
AUT,GRALPUBSER,2012,34.85
AUT,GRALPUBSER,2013,35.97
AUT,GRALPUBSER,2014,33.61
AUT,ENVPROT,2007,0.73
AUT,ENVPROT,2008,0.64
AUT,ENVPROT,2009,0.82
AUT,ENVPROT,2010,0.81
AUT,ENVPROT,2011,0.76
AUT,ENVPROT,2012,0.73
AUT,ENVPROT,2013,0.76
AUT,ENVPROT,2014,0.7
AUT,ECOAFF,2007,12.99
AUT,ECOAFF,2008,13.01
AUT,ECOAFF,2009,15.04
AUT,ECOAFF,2010,12.43
AUT,ECOAFF,2011,11.93
AUT,ECOAFF,2012,12.14
AUT,ECOAFF,2013,10.68
AUT,ECOAFF,2014,15.07
AUT,RECULTREL,2007,1.26
AUT,RECULTREL,2008,0.91
AUT,RECULTREL,2009,0.86
AUT,RECULTREL,2010,0.89
AUT,RECULTREL,2011,0.92
AUT,RECULTREL,2012,0.9
AUT,RECULTREL,2013,0.9
AUT,RECULTREL,2014,0.85
AUT,SOCPROT,2007,30.62
AUT,SOCPROT,2008,30.37
AUT,SOCPROT,2009,31.19
AUT,SOCPROT,2010,32.55
AUT,SOCPROT,2011,31.8
AUT,SOCPROT,2012,32.04
AUT,SOCPROT,2013,32.53
